日期,星期,节假日名称,日期类型,是否工作日
2026-09-04,周五,,工作日,是
2026-09-05,周六,,周末,否
2026-09-06,周日,,周末,否
2026-09-07,周一,,工作日,是
2026-09-08,周二,,工作日,是
2026-09-09,周三,,工作日,是
2026-09-10,周四,,工作日,是
2026-09-11,周五,,工作日,是
2026-09-12,周六,,周末,否
2026-09-13,周日,,周末,否
2026-09-14,周一,,工作日,是
2026-09-15,周二,,工作日,是
2026-09-16,周三,,工作日,是
2026-09-17,周四,,工作日,是
2026-09-18,周五,,工作日,是
2026-09-19,周六,,周末,否
2026-09-20,周日,国庆节调休,调休上班,是
2026-09-21,周一,,工作日,是
2026-09-22,周二,,工作日,是
2026-09-23,周三,,工作日,是
2026-09-24,周四,,工作日,是
2026-09-25,周五,中秋节,节假日,否
2026-09-26,周六,中秋节,节假日,否
2026-09-27,周日,中秋节,节假日,否
2026-09-28,周一,,工作日,是
2026-09-29,周二,,工作日,是
2026-09-30,周三,,工作日,是
2026-10-01,周四,国庆节,节假日,否
2026-10-02,周五,国庆节,节假日,否
2026-10-03,周六,国庆节,节假日,否
2026-10-04,周日,国庆节,节假日,否
2026-10-05,周一,国庆节,节假日,否
2026-10-06,周二,国庆节,节假日,否
2026-10-07,周三,国庆节,节假日,否
2026-10-08,周四,,工作日,是
2026-10-09,周五,,工作日,是
2026-10-10,周六,国庆节调休,调休上班,是
2026-10-11,周日,,周末,否
2026-10-12,周一,,工作日,是
2026-10-13,周二,,工作日,是
2026-10-14,周三,,工作日,是
2026-10-15,周四,,工作日,是
2026-10-16,周五,,工作日,是
2026-10-17,周六,,周末,否
2026-10-18,周日,,周末,否
2026-10-19,周一,,工作日,是
2026-10-20,周二,,工作日,是
2026-10-21,周三,,工作日,是
2026-10-22,周四,,工作日,是
2026-10-23,周五,,工作日,是
2026-10-24,周六,,周末,否
2026-10-25,周日,,周末,否
2026-10-26,周一,,工作日,是
2026-10-27,周二,,工作日,是
2026-10-28,周三,,工作日,是
2026-10-29,周四,,工作日,是
2026-10-30,周五,,工作日,是
2026-10-31,周六,,周末,否
2026-11-01,周日,,周末,否
2026-11-02,周一,,工作日,是
2026-11-03,周二,,工作日,是
2026-11-04,周三,,工作日,是
2026-11-05,周四,,工作日,是
2026-11-06,周五,,工作日,是
2026-11-07,周六,,周末,否
2026-11-08,周日,,周末,否
2026-11-09,周一,,工作日,是
2026-11-10,周二,,工作日,是
2026-11-11,周三,,工作日,是
2026-11-12,周四,,工作日,是
2026-11-13,周五,,工作日,是
2026-11-14,周六,,周末,否
2026-11-15,周日,,周末,否
2026-11-16,周一,,工作日,是
2026-11-17,周二,,工作日,是
2026-11-18,周三,,工作日,是
2026-11-19,周四,,工作日,是
2026-11-20,周五,,工作日,是
2026-11-21,周六,,周末,否
2026-11-22,周日,,周末,否
2026-11-23,周一,,工作日,是
2026-11-24,周二,,工作日,是
2026-11-25,周三,,工作日,是
2026-11-26,周四,,工作日,是
2026-11-27,周五,,工作日,是
2026-11-28,周六,,周末,否
2026-11-29,周日,,周末,否
2026-11-30,周一,,工作日,是
2026-12-01,周二,,工作日,是
2026-12-02,周三,,工作日,是
2026-12-03,周四,,工作日,是
2026-12-04,周五,,工作日,是
2026-12-05,周六,,周末,否
2026-12-06,周日,,周末,否
2026-12-07,周一,,工作日,是
2026-12-08,周二,,工作日,是
2026-12-09,周三,,工作日,是
2026-12-10,周四,,工作日,是
2026-12-11,周五,,工作日,是
2026-12-12,周六,,周末,否
2026-12-13,周日,,周末,否
2026-12-14,周一,,工作日,是
2026-12-15,周二,,工作日,是
2026-12-16,周三,,工作日,是
2026-12-17,周四,,工作日,是
2026-12-18,周五,,工作日,是
2026-12-19,周六,,周末,否
2026-12-20,周日,,周末,否
2026-12-21,周一,,工作日,是
2026-12-22,周二,,工作日,是
2026-12-23,周三,,工作日,是
2026-12-24,周四,,工作日,是
2026-12-25,周五,,工作日,是
2026-12-26,周六,,周末,否
2026-12-27,周日,,周末,否
2026-12-28,周一,,工作日,是
2026-12-29,周二,,工作日,是
2026-12-30,周三,,工作日,是
2026-12-31,周四,,工作日,是
2027-01-01,周五,元旦,节假日,否
2027-01-02,周六,,周末,否
2027-01-03,周日,,周末,否
2027-01-04,周一,,工作日,是
2027-01-05,周二,,工作日,是
2027-01-06,周三,,工作日,是
2027-01-07,周四,,工作日,是
2027-01-08,周五,,工作日,是
2027-01-09,周六,,周末,否
2027-01-10,周日,,周末,否
2027-01-11,周一,,工作日,是
2027-01-12,周二,,工作日,是
2027-01-13,周三,,工作日,是
2027-01-14,周四,,工作日,是
2027-01-15,周五,,工作日,是
2027-01-16,周六,,周末,否
2027-01-17,周日,,周末,否
2027-01-18,周一,,工作日,是
2027-01-19,周二,,工作日,是
2027-01-20,周三,,工作日,是
2027-01-21,周四,,工作日,是
2027-01-22,周五,,工作日,是
2027-01-23,周六,,周末,否
2027-01-24,周日,,周末,否
2027-01-25,周一,,工作日,是
2027-01-26,周二,,工作日,是
2027-01-27,周三,,工作日,是
2027-01-28,周四,,工作日,是
2027-01-29,周五,,工作日,是
2027-01-30,周六,,周末,否
2027-01-31,周日,春节调休,调休上班,是
2027-02-01,周一,,工作日,是
2027-02-02,周二,,工作日,是
2027-02-03,周三,,工作日,是
2027-02-04,周四,,工作日,是
2027-02-05,周五,春节,节假日,否
2027-02-06,周六,春节,节假日,否
2027-02-07,周日,春节,节假日,否
2027-02-08,周一,春节,节假日,否
2027-02-09,周二,春节,节假日,否
2027-02-10,周三,春节,节假日,否
2027-02-11,周四,春节,节假日,否
2027-02-12,周五,春节,节假日,否
2027-02-13,周六,春节,节假日,否
2027-02-14,周日,春节调休,调休上班,是
2027-02-15,周一,,工作日,是
2027-02-16,周二,,工作日,是
2027-02-17,周三,,工作日,是
2027-02-18,周四,,工作日,是
2027-02-19,周五,,工作日,是
2027-02-20,周六,,周末,否
2027-02-21,周日,春节调休,调休上班,是
2027-02-22,周一,,工作日,是
2027-02-23,周二,,工作日,是
2027-02-24,周三,,工作日,是
2027-02-25,周四,,工作日,是
2027-02-26,周五,,工作日,是
2027-02-27,周六,,周末,否
2027-02-28,周日,春节调休,调休上班,是
2027-03-01,周一,,工作日,是
2027-03-02,周二,,工作日,是
2027-03-03,周三,,工作日,是
2027-03-04,周四,,工作日,是
2027-03-05,周五,,工作日,是
2027-03-06,周六,,周末,否
2027-03-07,周日,,周末,否
2027-03-08,周一,,工作日,是
2027-03-09,周二,,工作日,是
2027-03-10,周三,,工作日,是
2027-03-11,周四,,工作日,是
2027-03-12,周五,,工作日,是
2027-03-13,周六,,周末,否
2027-03-14,周日,,周末,否
2027-03-15,周一,,工作日,是
2027-03-16,周二,,工作日,是
2027-03-17,周三,,工作日,是
2027-03-18,周四,,工作日,是
2027-03-19,周五,,工作日,是
2027-03-20,周六,,周末,否
2027-03-21,周日,,周末,否
2027-03-22,周一,,工作日,是
2027-03-23,周二,,工作日,是
2027-03-24,周三,,工作日,是
2027-03-25,周四,,工作日,是
2027-03-26,周五,,工作日,是
2027-03-27,周六,,周末,否
2027-03-28,周日,,周末,否
2027-03-29,周一,,工作日,是
2027-03-30,周二,,工作日,是
2027-03-31,周三,,工作日,是
2027-04-01,周四,,工作日,是
2027-04-02,周五,,工作日,是
2027-04-03,周六,清明节,节假日,否
2027-04-04,周日,清明节,节假日,否
2027-04-05,周一,清明节,节假日,否
2027-04-06,周二,,工作日,是
2027-04-07,周三,,工作日,是
2027-04-08,周四,,工作日,是
2027-04-09,周五,,工作日,是
2027-04-10,周六,,周末,否
2027-04-11,周日,,周末,否
2027-04-12,周一,,工作日,是
2027-04-13,周二,,工作日,是
2027-04-14,周三,,工作日,是
2027-04-15,周四,,工作日,是
2027-04-16,周五,,工作日,是
2027-04-17,周六,,周末,否
2027-04-18,周日,,周末,否
2027-04-19,周一,,工作日,是
2027-04-20,周二,,工作日,是
2027-04-21,周三,,工作日,是
2027-04-22,周四,,工作日,是
2027-04-23,周五,,工作日,是
2027-04-24,周六,,周末,否
2027-04-25,周日,,周末,否
2027-04-26,周一,,工作日,是
2027-04-27,周二,,工作日,是
2027-04-28,周三,,工作日,是
2027-04-29,周四,,工作日,是
2027-04-30,周五,,工作日,是
2027-05-01,周六,劳动节,节假日,否
2027-05-02,周日,劳动节,节假日,否
2027-05-03,周一,劳动节,节假日,否
2027-05-04,周二,劳动节,节假日,否
2027-05-05,周三,劳动节,节假日,否
2027-05-06,周四,,工作日,是
2027-05-07,周五,,工作日,是
2027-05-08,周六,,周末,否
2027-05-09,周日,劳动节调休,调休上班,是
2027-05-10,周一,,工作日,是
2027-05-11,周二,,工作日,是
2027-05-12,周三,,工作日,是
2027-05-13,周四,,工作日,是
2027-05-14,周五,,工作日,是
2027-05-15,周六,,周末,否
2027-05-16,周日,劳动节调休,调休上班,是
2027-05-17,周一,,工作日,是
2027-05-18,周二,,工作日,是
2027-05-19,周三,,工作日,是
2027-05-20,周四,,工作日,是
2027-05-21,周五,,工作日,是
2027-05-22,周六,,周末,否
2027-05-23,周日,劳动节调休,调休上班,是
2027-05-24,周一,,工作日,是
2027-05-25,周二,,工作日,是
2027-05-26,周三,,工作日,是
2027-05-27,周四,,工作日,是
2027-05-28,周五,,工作日,是
2027-05-29,周六,,周末,否
2027-05-30,周日,,周末,否
2027-05-31,周一,,工作日,是
2027-06-01,周二,,工作日,是
2027-06-02,周三,,工作日,是
2027-06-03,周四,,工作日,是
2027-06-04,周五,,工作日,是
2027-06-05,周六,,周末,否
2027-06-06,周日,,周末,否
2027-06-07,周一,,工作日,是
2027-06-08,周二,,工作日,是
2027-06-09,周三,端午节,节假日,否
2027-06-10,周四,,工作日,是
2027-06-11,周五,,工作日,是
2027-06-12,周六,,周末,否
2027-06-13,周日,,周末,否
2027-06-14,周一,,工作日,是
2027-06-15,周二,,工作日,是
2027-06-16,周三,,工作日,是
2027-06-17,周四,,工作日,是
2027-06-18,周五,,工作日,是
2027-06-19,周六,,周末,否
2027-06-20,周日,,周末,否
2027-06-21,周一,,工作日,是
2027-06-22,周二,,工作日,是
2027-06-23,周三,,工作日,是
2027-06-24,周四,,工作日,是
2027-06-25,周五,,工作日,是
2027-06-26,周六,,周末,否
2027-06-27,周日,,周末,否
2027-06-28,周一,,工作日,是
2027-06-29,周二,,工作日,是
2027-06-30,周三,,工作日,是
2027-07-01,周四,,工作日,是
2027-07-02,周五,,工作日,是
2027-07-03,周六,,周末,否
2027-07-04,周日,,周末,否
2027-07-05,周一,,工作日,是
2027-07-06,周二,,工作日,是
2027-07-07,周三,,工作日,是
2027-07-08,周四,,工作日,是
2027-07-09,周五,,工作日,是
2027-07-10,周六,,周末,否
2027-07-11,周日,,周末,否
2027-07-12,周一,,工作日,是
2027-07-13,周二,,工作日,是
2027-07-14,周三,,工作日,是
2027-07-15,周四,,工作日,是
2027-07-16,周五,,工作日,是
2027-07-17,周六,,周末,否
2027-07-18,周日,,周末,否
2027-07-19,周一,,工作日,是
2027-07-20,周二,,工作日,是
2027-07-21,周三,,工作日,是
2027-07-22,周四,,工作日,是
2027-07-23,周五,,工作日,是
2027-07-24,周六,,周末,否
2027-07-25,周日,,周末,否
2027-07-26,周一,,工作日,是
2027-07-27,周二,,工作日,是
2027-07-28,周三,,工作日,是
2027-07-29,周四,,工作日,是
2027-07-30,周五,,工作日,是
2027-07-31,周六,,周末,否
2027-08-01,周日,,周末,否
2027-08-02,周一,,工作日,是
2027-08-03,周二,,工作日,是
2027-08-04,周三,,工作日,是
2027-08-05,周四,,工作日,是
2027-08-06,周五,,工作日,是
2027-08-07,周六,,周末,否
2027-08-08,周日,,周末,否
2027-08-09,周一,,工作日,是
2027-08-10,周二,,工作日,是
2027-08-11,周三,,工作日,是
2027-08-12,周四,,工作日,是
2027-08-13,周五,,工作日,是
2027-08-14,周六,,周末,否
2027-08-15,周日,,周末,否
2027-08-16,周一,,工作日,是
2027-08-17,周二,,工作日,是
2027-08-18,周三,,工作日,是
2027-08-19,周四,,工作日,是
2027-08-20,周五,,工作日,是
2027-08-21,周六,,周末,否
2027-08-22,周日,,周末,否
2027-08-23,周一,,工作日,是
2027-08-24,周二,,工作日,是
2027-08-25,周三,,工作日,是
2027-08-26,周四,,工作日,是
2027-08-27,周五,,工作日,是
2027-08-28,周六,,周末,否
2027-08-29,周日,,周末,否
2027-08-30,周一,,工作日,是
2027-08-31,周二,,工作日,是
2027-09-01,周三,,工作日,是
2027-09-02,周四,,工作日,是
2027-09-03,周五,,工作日,是
2027-09-04,周六,,周末,否
2027-09-05,周日,,周末,否
2027-09-06,周一,,工作日,是
2027-09-07,周二,,工作日,是
2027-09-08,周三,,工作日,是
2027-09-09,周四,,工作日,是
2027-09-10,周五,,工作日,是
2027-09-11,周六,,周末,否
2027-09-12,周日,,周末,否
2027-09-13,周一,,工作日,是
2027-09-14,周二,,工作日,是
2027-09-15,周三,中秋节,节假日,否
2027-09-16,周四,,工作日,是
2027-09-17,周五,,工作日,是
2027-09-18,周六,,周末,否
2027-09-19,周日,,周末,否
2027-09-20,周一,,工作日,是
2027-09-21,周二,,工作日,是
2027-09-22,周三,,工作日,是
2027-09-23,周四,,工作日,是
2027-09-24,周五,,工作日,是
2027-09-25,周六,,周末,否
2027-09-26,周日,国庆节调休,调休上班,是
2027-09-27,周一,,工作日,是
2027-09-28,周二,,工作日,是
2027-09-29,周三,,工作日,是
2027-09-30,周四,,工作日,是
2027-10-01,周五,国庆节,节假日,否
2027-10-02,周六,国庆节,节假日,否
2027-10-03,周日,国庆节,节假日,否
2027-10-04,周一,国庆节,节假日,否
2027-10-05,周二,国庆节,节假日,否
2027-10-06,周三,国庆节,节假日,否
2027-10-07,周四,国庆节,节假日,否
2027-10-08,周五,,工作日,是
2027-10-09,周六,,周末,否
2027-10-10,周日,国庆节调休,调休上班,是
2027-10-11,周一,,工作日,是
2027-10-12,周二,,工作日,是
2027-10-13,周三,,工作日,是
2027-10-14,周四,,工作日,是
2027-10-15,周五,,工作日,是
2027-10-16,周六,,周末,否
2027-10-17,周日,国庆节调休,调休上班,是
2027-10-18,周一,,工作日,是
2027-10-19,周二,,工作日,是
2027-10-20,周三,,工作日,是
2027-10-21,周四,,工作日,是
2027-10-22,周五,,工作日,是
2027-10-23,周六,,周末,否
2027-10-24,周日,国庆节调休,调休上班,是
2027-10-25,周一,,工作日,是
2027-10-26,周二,,工作日,是
2027-10-27,周三,,工作日,是
2027-10-28,周四,,工作日,是
2027-10-29,周五,,工作日,是
2027-10-30,周六,,周末,否
2027-10-31,周日,,周末,否
2027-11-01,周一,,工作日,是
2027-11-02,周二,,工作日,是
2027-11-03,周三,,工作日,是
2027-11-04,周四,,工作日,是
2027-11-05,周五,,工作日,是
2027-11-06,周六,,周末,否
2027-11-07,周日,,周末,否
2027-11-08,周一,,工作日,是
2027-11-09,周二,,工作日,是
2027-11-10,周三,,工作日,是
2027-11-11,周四,,工作日,是
2027-11-12,周五,,工作日,是
2027-11-13,周六,,周末,否
2027-11-14,周日,,周末,否
2027-11-15,周一,,工作日,是
2027-11-16,周二,,工作日,是
2027-11-17,周三,,工作日,是
2027-11-18,周四,,工作日,是
2027-11-19,周五,,工作日,是
2027-11-20,周六,,周末,否
2027-11-21,周日,,周末,否
2027-11-22,周一,,工作日,是
2027-11-23,周二,,工作日,是
2027-11-24,周三,,工作日,是
2027-11-25,周四,,工作日,是
2027-11-26,周五,,工作日,是
2027-11-27,周六,,周末,否
2027-11-28,周日,,周末,否
2027-11-29,周一,,工作日,是
2027-11-30,周二,,工作日,是
2027-12-01,周三,,工作日,是
2027-12-02,周四,,工作日,是
2027-12-03,周五,,工作日,是
2027-12-04,周六,,周末,否
2027-12-05,周日,,周末,否
2027-12-06,周一,,工作日,是
2027-12-07,周二,,工作日,是
2027-12-08,周三,,工作日,是
2027-12-09,周四,,工作日,是
2027-12-10,周五,,工作日,是
2027-12-11,周六,,周末,否
2027-12-12,周日,,周末,否
2027-12-13,周一,,工作日,是
2027-12-14,周二,,工作日,是
2027-12-15,周三,,工作日,是
2027-12-16,周四,,工作日,是
2027-12-17,周五,,工作日,是
2027-12-18,周六,,周末,否
2027-12-19,周日,,周末,否
2027-12-20,周一,,工作日,是
2027-12-21,周二,,工作日,是
2027-12-22,周三,,工作日,是
2027-12-23,周四,,工作日,是
2027-12-24,周五,,工作日,是
2027-12-25,周六,,周末,否
2027-12-26,周日,,周末,否
2027-12-27,周一,,工作日,是
2027-12-28,周二,,工作日,是
2027-12-29,周三,,工作日,是
2027-12-30,周四,,工作日,是
2027-12-31,周五,,工作日,是
2028-01-01,周六,元旦,节假日,否
2028-01-02,周日,,周末,否
2028-01-03,周一,,工作日,是
2028-01-04,周二,,工作日,是
2028-01-05,周三,,工作日,是
2028-01-06,周四,,工作日,是
2028-01-07,周五,,工作日,是
2028-01-08,周六,,周末,否
2028-01-09,周日,,周末,否
2028-01-10,周一,,工作日,是
2028-01-11,周二,,工作日,是
2028-01-12,周三,,工作日,是
2028-01-13,周四,,工作日,是
2028-01-14,周五,,工作日,是
2028-01-15,周六,,周末,否
